date,mkt_rf,smb,hml,rf,portfolio_excess
2005-01-01,0.0344526,0.0098623,0.0268041,0.0013620,0.0521831
2005-02-01,0.0653063,-0.0177702,-0.0016652,0.0016480,0.0467857
2005-03-01,-0.0000089,-0.0079718,-0.0551405,0.0008109,0.0116447
2005-04-01,0.1005751,-0.0050615,0.0224913,0.0012539,0.1170515
2005-05-01,-0.0171336,0.0384095,0.0118498,0.0024428,0.0327988
2005-06-01,0.0563014,-0.0205266,0.0018199,0.0016721,0.0640652
2005-07-01,0.0413547,-0.0189852,0.0287362,0.0018028,0.0414395
2005-08-01,0.0336659,-0.0111320,0.0164345,0.0021674,0.0129286
2005-09-01,-0.0031810,0.0136353,0.0095331,0.0016810,-0.0124961
2005-10-01,0.0207127,0.0189232,-0.0058032,0.0010754,0.0346998
2005-11-01,-0.0069746,-0.0118194,-0.0302050,0.0007565,-0.0274157
2005-12-01,0.0573043,-0.0296136,0.0151009,0.0016867,0.0605463
2006-01-01,-0.0639597,-0.0093483,0.0220999,0.0020038,-0.0666684
2006-02-01,0.0468786,0.0169123,0.0242249,0.0017114,0.0407561
2006-03-01,0.0575801,-0.0118345,0.0495452,0.0023932,0.0739644
2006-04-01,-0.0463017,0.0259103,-0.0090926,0.0015352,-0.0331181
2006-05-01,-0.0195329,-0.0381297,0.0317734,0.0013200,-0.0681109
2006-06-01,-0.0691440,-0.0316556,0.0022034,0.0018543,-0.1061710
2006-07-01,-0.0420491,0.0283980,-0.0550284,0.0006396,-0.0268715
2006-08-01,-0.0040270,0.0029153,0.0107501,0.0013918,-0.0238133
2006-09-01,0.0119847,-0.0082322,-0.0022639,0.0015194,0.0369494
2006-10-01,0.0093777,0.0095040,0.0395176,0.0014877,-0.0132602
2006-11-01,-0.0223037,0.0341647,-0.0219585,0.0020076,-0.0115030
2006-12-01,-0.0316951,0.0488289,0.0203974,0.0015164,-0.0343663
2007-01-01,0.0377387,-0.0004176,-0.0270686,0.0016356,0.0522820
2007-02-01,0.0083645,-0.0276033,-0.0122726,0.0016963,0.0191286
2007-03-01,-0.0751977,-0.0132211,0.0038398,0.0016762,-0.0917984
2007-04-01,0.0416407,-0.0099763,-0.0264273,0.0011899,0.0607047
2007-05-01,0.0261985,-0.0000551,0.0427064,0.0019073,-0.0130721
2007-06-01,-0.0245403,-0.0017266,-0.0097159,0.0013566,-0.0173744
2007-07-01,-0.0509805,0.0318062,0.0596483,0.0022441,-0.0644078
2007-08-01,0.0252617,0.0192518,0.0043264,0.0020995,0.0500284
2007-09-01,-0.0029003,0.0283633,0.0458689,0.0012217,0.0409752
2007-10-01,0.0461575,0.0049884,0.0107931,0.0015516,0.0552036
2007-11-01,-0.0247831,-0.0145551,-0.0128302,0.0012894,-0.0228711
2007-12-01,0.0010878,-0.0406432,-0.0022602,0.0012330,-0.0213590
2008-01-01,-0.0200617,0.0231583,0.0304559,0.0014505,-0.0166040
2008-02-01,0.0068787,-0.0045789,-0.0091667,0.0006095,0.0097012
2008-03-01,-0.0338126,-0.0076558,-0.0488386,0.0020291,-0.0762096
2008-04-01,-0.0024729,0.0112502,0.0673282,0.0021953,-0.0035773
2008-05-01,0.0475453,-0.0334695,0.0606070,0.0014160,0.0038024
2008-06-01,0.0233724,0.0001992,-0.0060367,0.0017223,0.0420500
2008-07-01,0.0357315,-0.0240319,-0.0329602,0.0016519,0.0385749
2008-08-01,-0.0299025,-0.0160483,-0.0216278,0.0019980,-0.0203652
2008-09-01,-0.0219225,0.0010182,-0.0361480,0.0010400,-0.0183019
2008-10-01,0.0189726,0.0666704,0.0075507,0.0015636,0.0533526
2008-11-01,0.0696772,0.0328786,0.0244873,0.0013719,0.1000477
2008-12-01,-0.0126525,-0.0477539,0.0135564,0.0010518,-0.0337256
2009-01-01,-0.0204788,-0.0065412,0.0177811,0.0021703,-0.0212177
2009-02-01,0.0571016,-0.0044257,-0.0126416,0.0005436,0.0353525
2009-03-01,0.1019899,0.0289610,-0.0009461,0.0016136,0.1362300
2009-04-01,-0.0923841,-0.0121302,0.0032294,0.0012452,-0.0945697
2009-05-01,0.0616283,-0.0253133,0.0267156,0.0018467,0.1019513
2009-06-01,0.0307644,0.0445160,0.0027167,0.0014497,0.0311894
2009-07-01,0.0196977,-0.0456590,0.0560450,0.0019534,-0.0483248
2009-08-01,0.0104311,0.0298698,0.0064081,0.0017397,0.0228662
2009-09-01,-0.0377662,0.0201366,-0.0393407,0.0018183,-0.0136727
2009-10-01,-0.0123572,0.0075555,-0.0054293,0.0020872,0.0048438
2009-11-01,-0.0111191,-0.0018428,-0.0174042,0.0013503,-0.0158319
2009-12-01,0.0501679,0.0263082,0.0376632,0.0008160,0.0692436
2010-01-01,-0.0307054,-0.0038040,-0.0095089,0.0018919,-0.0116090
2010-02-01,0.0387996,-0.0187536,0.0238793,0.0012241,0.0825405
2010-03-01,0.0164030,0.0095663,0.0054425,0.0020188,0.0159348
2010-04-01,-0.0426954,-0.0081268,0.0120905,0.0011836,-0.0602445
2010-05-01,-0.0174335,0.0075888,0.0150990,0.0011287,0.0036242
2010-06-01,0.0141470,-0.0061353,-0.0195697,0.0017186,0.0445797
2010-07-01,0.0102196,0.0082781,0.0122362,0.0017161,-0.0087509
2010-08-01,-0.0535692,-0.0036109,0.0469461,0.0013858,-0.0717372
2010-09-01,0.0473787,-0.0031945,0.0282288,0.0009662,0.0576957
2010-10-01,0.0332446,0.0128071,0.0390031,0.0021905,0.0373565
2010-11-01,-0.0642952,-0.0086953,-0.0328581,0.0015367,-0.0661204
2010-12-01,0.0118099,-0.0322941,0.0436791,0.0016985,0.0340323
2011-01-01,0.0137504,0.0622283,0.0074122,0.0018924,0.0123847
2011-02-01,0.0227827,0.0149199,0.0029454,0.0004083,0.0242621
2011-03-01,-0.0668687,-0.0288177,-0.0158745,0.0020970,-0.0771508
2011-04-01,-0.0483659,0.0489695,0.0139751,0.0013504,-0.0597653
2011-05-01,-0.0941216,-0.0109752,-0.0006442,0.0018313,-0.0969291
2011-06-01,-0.0608880,0.0094762,-0.0046970,0.0008373,-0.0691490
2011-07-01,-0.0595912,0.0060957,0.0326408,0.0013337,-0.0502402
2011-08-01,-0.0045319,0.0305145,-0.0283850,0.0014876,0.0219482
2011-09-01,-0.0221352,0.0322208,-0.0135516,0.0018085,0.0024246
2011-10-01,0.0462413,0.0206264,0.0290533,0.0014585,0.0991111
2011-11-01,0.0001008,-0.0123408,-0.0046175,0.0017941,0.0168053
2011-12-01,-0.0437696,0.0064184,0.0469188,0.0010550,-0.0372196
2012-01-01,0.0088131,-0.0179267,-0.0007785,0.0015484,0.0390449
2012-02-01,-0.0138022,0.0386205,0.0199822,0.0009348,-0.0086307
2012-03-01,0.0064646,-0.0076584,0.0088975,0.0012567,-0.0242842
2012-04-01,-0.0057365,0.0044333,0.0209310,0.0015327,0.0092466
2012-05-01,-0.0689996,-0.0045114,-0.0305084,0.0014970,-0.0757093
2012-06-01,-0.0217495,-0.0009574,-0.0180106,0.0015484,0.0071980
2012-07-01,0.0229815,-0.0075423,-0.0206835,0.0013782,0.0274472
2012-08-01,0.0540300,0.0095972,0.0431237,0.0020067,0.0816293
2012-09-01,-0.0126469,0.0005799,-0.0008855,0.0016209,-0.0148529
2012-10-01,0.0100504,0.0086570,-0.0368111,0.0009947,0.0375185
2012-11-01,0.0288122,0.0201262,0.0274852,0.0027368,0.0431322
2012-12-01,0.0682571,-0.0285365,-0.0627295,0.0010734,0.1244471
2013-01-01,0.0333165,0.0221615,0.0502080,0.0016246,0.0252915
2013-02-01,0.0642534,0.0459300,-0.0094476,0.0013291,0.1002178
2013-03-01,-0.0788381,-0.0399364,0.0214864,0.0014971,-0.1076664
2013-04-01,-0.0238274,-0.0185674,0.0288262,0.0019441,-0.0651239
2013-05-01,-0.0037430,0.0044134,0.0100894,0.0012347,0.0284792
2013-06-01,-0.0794800,-0.0037833,-0.0022724,0.0014183,-0.1102704
2013-07-01,0.0555090,-0.0321477,-0.0116600,0.0016321,0.0537262
2013-08-01,0.0024320,0.0202547,0.0188568,0.0012561,0.0239016
2013-09-01,0.0219340,0.0388721,0.0092650,0.0012195,0.0397805
2013-10-01,0.0803276,0.0470664,0.0229776,0.0006684,0.1119892
2013-11-01,0.0109507,0.0019180,-0.0304168,0.0026605,0.0091179
2013-12-01,-0.0792995,-0.0176653,0.0128659,0.0019428,-0.0764863
2014-01-01,-0.0106466,0.0247359,-0.0195525,0.0015844,0.0063704
2014-02-01,-0.0141229,-0.0518480,-0.0153775,0.0022572,-0.0368381
2014-03-01,0.0176527,0.0188373,-0.0025994,0.0015559,0.0611831
2014-04-01,-0.0287602,0.0249867,0.0395196,0.0014802,-0.0339860
2014-05-01,0.0330475,0.0124344,0.0296846,0.0009432,0.0398159
2014-06-01,0.0332688,-0.0136367,0.0287494,0.0014312,0.0414960
2014-07-01,-0.0005694,-0.0041798,-0.0259484,0.0022454,-0.0378395
2014-08-01,0.0260136,-0.0121156,-0.0033666,0.0015743,0.0511898
2014-09-01,0.0952729,-0.0103476,0.0101425,0.0006217,0.1121338
2014-10-01,0.0016085,0.0054793,0.0281268,0.0013704,-0.0107164
2014-11-01,-0.0346655,-0.0281698,-0.0128380,0.0013886,-0.0666350
2014-12-01,0.0236857,-0.0637394,-0.0222952,0.0008527,0.0343173
2015-01-01,-0.0269778,0.0117285,-0.0212634,0.0017923,-0.0417178
2015-02-01,0.0182414,-0.0273750,-0.0041974,0.0015864,0.0104906
2015-03-01,-0.0363711,0.0156751,0.0462386,0.0021594,-0.0550796
2015-04-01,0.0429041,0.0059409,0.0310129,0.0017459,0.0290512
2015-05-01,0.0307313,-0.0312397,0.0102455,0.0015378,0.0223486
2015-06-01,0.0613991,0.0004143,0.0504006,0.0017805,0.0613553
2015-07-01,0.0456205,-0.0315755,-0.0070379,0.0009794,0.0514508
2015-08-01,-0.0219133,0.0322598,0.0031602,0.0007049,-0.0479677
2015-09-01,0.0890316,-0.0021157,0.0502813,0.0011540,0.0519080
2015-10-01,-0.0505011,0.0108650,0.0341577,0.0015916,-0.0698204
2015-11-01,-0.0020606,0.0227602,0.0195653,0.0007412,-0.0164341
2015-12-01,-0.0395469,0.0098862,0.0239421,0.0011217,-0.0336009
2016-01-01,-0.0551681,0.0335879,0.0372253,0.0018236,-0.0657951
2016-02-01,-0.0492277,0.0189574,0.0027452,0.0014300,-0.0789494
2016-03-01,-0.0079241,-0.0251793,0.0117120,0.0015993,0.0064768
2016-04-01,0.0307139,-0.0439774,-0.0322641,0.0023847,0.0276284
2016-05-01,0.0745337,-0.0085738,0.0295092,0.0019069,0.0345390
2016-06-01,0.0258050,0.0096505,0.0278479,0.0013650,0.0085516
2016-07-01,-0.0359668,0.0510616,0.0150832,0.0018126,-0.0164185
2016-08-01,-0.0141005,0.0494734,0.0023942,0.0014389,0.0285903
2016-09-01,0.0586842,0.0574705,-0.0115766,0.0010933,0.1120163
2016-10-01,0.0067675,0.0105547,-0.0591491,0.0019705,-0.0006978
2016-11-01,-0.0472445,-0.0100998,0.0059440,0.0013171,-0.0778894
