date,usd_per_eur
2023-01-02,1.126873
2023-01-03,1.118591
2023-01-04,1.127678
2023-01-05,1.140374
2023-01-06,1.144051
2023-01-09,1.146788
2023-01-10,1.140518
2023-01-11,1.139676
2023-01-12,1.143799
2023-01-13,1.139880
2023-01-16,1.143550
2023-01-17,1.143363
2023-01-18,1.137834
2023-01-19,1.145702
2023-01-20,1.141090
2023-01-23,1.149364
2023-01-24,1.151579
2023-01-25,1.146281
2023-01-26,1.141628
2023-01-27,1.141655
2023-01-30,1.140359
2023-01-31,1.139409
2023-02-01,1.142340
2023-02-02,1.142027
2023-02-03,1.131928
2023-02-06,1.130669
2023-02-07,1.122709
2023-02-08,1.124983
2023-02-09,1.118091
2023-02-10,1.119422
2023-02-13,1.117045
2023-02-14,1.117645
2023-02-15,1.110258
2023-02-16,1.105612
2023-02-17,1.100763
2023-02-20,1.102423
2023-02-21,1.104944
2023-02-22,1.096616
2023-02-23,1.095704
2023-02-24,1.097590
2023-02-27,1.087493
2023-02-28,1.099667
2023-03-01,1.100819
2023-03-02,1.103151
2023-03-03,1.102032
2023-03-06,1.100939
2023-03-07,1.098253
2023-03-08,1.098538
2023-03-09,1.101495
2023-03-10,1.092228
2023-03-13,1.090789
2023-03-14,1.094026
2023-03-15,1.094232
2023-03-16,1.089639
2023-03-17,1.086358
2023-03-20,1.087591
2023-03-21,1.080945
2023-03-22,1.084409
2023-03-23,1.084131
2023-03-24,1.081138
2023-03-27,1.070143
2023-03-28,1.079728
2023-03-29,1.080842
2023-03-30,1.095471
2023-03-31,1.101156
2023-04-03,1.096631
2023-04-04,1.094681
2023-04-05,1.104123
2023-04-06,1.105655
2023-04-07,1.105028
2023-04-10,1.109133
2023-04-11,1.112357
2023-04-12,1.115571
2023-04-13,1.111058
2023-04-14,1.112771
2023-04-17,1.113267
2023-04-18,1.110511
2023-04-19,1.115925
2023-04-20,1.114810
2023-04-21,1.108113
2023-04-24,1.115048
2023-04-25,1.105480
2023-04-26,1.097865
2023-04-27,1.097332
2023-04-28,1.093870
2023-05-01,1.089503
2023-05-02,1.091572
2023-05-03,1.083795
2023-05-04,1.073594
2023-05-05,1.066423
2023-05-08,1.064834
2023-05-09,1.079082
2023-05-10,1.068803
2023-05-11,1.059968
2023-05-12,1.076115
2023-05-15,1.076894
2023-05-16,1.076407
2023-05-17,1.087527
2023-05-18,1.084667
2023-05-19,1.088181
2023-05-22,1.086664
2023-05-23,1.078473
2023-05-24,1.082130
2023-05-25,1.076070
2023-05-26,1.091636
2023-05-29,1.090668
2023-05-30,1.097456
2023-05-31,1.099251
2023-06-01,1.097173
2023-06-02,1.092085
