date,cpi_index,industrial_production_index,federal_funds_rate
2010-01-01,100.0744,100.0419,1.8994
2010-02-01,100.2489,100.2687,1.9155
2010-03-01,100.3798,100.6337,1.7784
2010-04-01,100.5985,100.7879,1.7661
2010-05-01,100.8176,101.1771,1.7536
2010-06-01,101.0950,101.6051,1.8092
2010-07-01,101.1213,102.1979,1.7784
2010-08-01,101.3181,102.0238,1.8174
2010-09-01,101.5416,102.3786,1.8251
2010-10-01,101.6319,102.3181,1.9629
2010-11-01,101.9034,102.2607,2.0706
2010-12-01,102.1141,102.6574,1.9117
2011-01-01,102.3599,103.3619,1.8495
2011-02-01,102.6636,103.5235,1.9448
2011-03-01,102.9394,104.2205,2.0151
2011-04-01,103.1146,104.4393,2.0887
2011-05-01,103.3095,104.7677,2.0348
2011-06-01,103.5664,104.5599,2.2054
2011-07-01,103.8830,104.9210,2.2389
2011-08-01,104.0939,105.3427,2.5129
2011-09-01,104.4422,105.3214,2.7064
2011-10-01,104.7281,106.1496,2.6992
2011-11-01,104.7585,107.2386,2.7668
2011-12-01,104.8156,107.4758,2.7752
2012-01-01,105.1512,106.9340,2.8124
2012-02-01,105.4459,107.3107,2.6145
2012-03-01,105.7020,108.2157,2.6900
2012-04-01,105.8911,108.5486,2.7839
2012-05-01,106.1996,109.6493,2.9024
2012-06-01,106.4682,110.3757,2.8886
2012-07-01,106.8690,110.8853,2.8885
2012-08-01,107.1023,111.3588,2.8540
2012-09-01,107.3419,111.3728,2.8025
2012-10-01,107.5542,111.6236,2.6820
2012-11-01,107.7659,112.0302,2.5266
2012-12-01,108.0344,112.9526,2.2743
2013-01-01,108.3403,112.7181,2.4887
2013-02-01,108.4244,112.9430,2.3834
2013-03-01,108.8013,112.7855,2.3978
2013-04-01,109.0349,112.9583,2.5565
2013-05-01,109.2776,113.0783,2.4640
2013-06-01,109.5393,113.2587,2.3985
2013-07-01,109.7725,114.0925,2.2237
2013-08-01,109.9982,114.1528,2.2467
2013-09-01,110.2823,113.9186,2.1030
2013-10-01,110.6637,114.1193,1.9134
2013-11-01,110.8692,113.6827,1.8366
2013-12-01,111.1583,113.6804,1.8811
2014-01-01,111.2943,114.1350,1.9964
2014-02-01,111.5265,113.8067,1.8818
2014-03-01,111.8236,113.7607,1.7304
2014-04-01,112.0547,114.3918,1.7119
2014-05-01,112.2111,114.1607,1.5628
2014-06-01,112.2271,114.2271,1.4691
2014-07-01,112.3179,114.4381,1.2289
2014-08-01,112.5260,113.7947,1.3072
2014-09-01,112.6935,113.7402,1.4806
2014-10-01,112.8111,114.0462,1.4704
2014-11-01,112.8035,114.2357,1.5285
2014-12-01,112.7984,113.9736,1.6401
2015-01-01,113.0351,113.7568,1.4533
2015-02-01,113.2067,114.5111,1.3745
2015-03-01,113.2762,114.7185,1.2333
2015-04-01,113.5466,114.9362,1.0846
2015-05-01,113.7410,114.3738,1.0691
2015-06-01,113.9701,113.8944,0.9367
2015-07-01,114.3333,113.1803,0.8982
2015-08-01,114.5884,113.7117,0.8910
2015-09-01,114.6462,113.5830,0.9279
2015-10-01,114.7876,113.3270,0.8125
2015-11-01,115.0097,113.0389,0.6180
2015-12-01,115.1937,112.7818,0.6119
2016-01-01,115.3764,112.5367,0.4076
2016-02-01,115.5847,112.3305,0.3963
2016-03-01,115.6902,112.3840,0.4735
2016-04-01,115.8783,111.8165,0.5353
2016-05-01,115.9614,111.4174,0.5232
2016-06-01,116.1398,111.1074,0.5665
2016-07-01,116.4466,110.9931,0.6985
2016-08-01,116.4515,110.4607,0.6739
2016-09-01,116.6597,110.5987,0.5440
2016-10-01,116.9172,110.8170,0.5504
2016-11-01,117.0056,110.1824,0.4452
2016-12-01,117.1677,110.5992,0.4151
2017-01-01,117.3446,110.0089,0.6218
2017-02-01,117.5798,109.0965,0.8253
2017-03-01,117.8520,109.0900,0.6664
2017-04-01,117.8397,108.9058,0.6311
2017-05-01,117.9549,108.8709,0.7525
2017-06-01,118.1446,108.7296,0.8675
2017-07-01,118.3584,109.3899,0.7548
2017-08-01,118.4425,109.4327,0.6790
2017-09-01,118.7092,109.1615,0.8899
2017-10-01,118.9830,108.8481,0.9891
2017-11-01,119.1110,109.2585,0.9286
2017-12-01,119.3014,109.3261,1.0080
2018-01-01,119.5602,110.3044,1.0286
2018-02-01,119.7714,110.4358,1.1389
2018-03-01,120.0650,110.3803,1.3136
2018-04-01,120.2240,110.0691,1.3432
2018-05-01,120.6428,111.0669,1.5480
2018-06-01,120.7718,111.3044,1.5856
2018-07-01,120.9649,111.3610,1.6475
2018-08-01,121.2082,111.3284,1.8080
2018-09-01,121.3431,110.6071,1.9771
2018-10-01,121.5478,110.7200,1.8269
2018-11-01,121.7022,110.0439,1.8228
2018-12-01,122.1087,110.5927,1.9770
2019-01-01,122.4494,110.8356,2.0157
2019-02-01,122.8139,111.3694,2.1834
2019-03-01,123.0612,111.3178,2.2139
2019-04-01,123.2927,111.4474,2.2448
2019-05-01,123.5783,111.5089,2.2827
2019-06-01,123.8225,111.8477,2.2330
2019-07-01,124.0446,112.4899,2.4411
2019-08-01,124.4281,112.5887,2.4888
2019-09-01,124.8910,113.2263,2.3904
2019-10-01,125.1125,113.8637,2.5729
2019-11-01,125.3732,114.0693,2.5022
2019-12-01,125.8167,114.8077,2.7165
2020-01-01,126.1198,114.8834,2.7210
2020-02-01,126.3997,115.4328,2.6750
2020-03-01,126.8409,115.3881,2.7727
2020-04-01,127.1428,115.4637,2.8091
2020-05-01,127.3381,115.8570,2.8269
2020-06-01,127.7662,116.1994,2.6517
2020-07-01,128.1558,116.5657,2.7192
2020-08-01,128.5896,117.0103,2.8004
2020-09-01,129.1936,117.9476,2.8140
2020-10-01,129.4733,118.1252,2.7318
2020-11-01,129.7296,118.1354,2.7163
2020-12-01,130.0453,118.1566,2.6817
2021-01-01,130.3656,118.2727,2.7369
2021-02-01,130.6316,118.5790,2.6757
2021-03-01,131.0456,119.0562,2.6064
2021-04-01,131.2810,119.0277,2.6099
2021-05-01,131.3904,119.7978,2.3393
2021-06-01,131.5188,119.9968,2.3460
2021-07-01,131.6362,120.1330,2.2167
2021-08-01,131.6515,121.1363,2.2461
2021-09-01,132.0561,121.3624,2.2897
2021-10-01,132.2315,121.6479,2.1263
2021-11-01,132.5385,121.6820,1.9290
2021-12-01,132.7361,121.8054,1.8448
2022-01-01,133.1382,121.8890,1.9079
2022-02-01,133.2271,121.7077,1.8201
2022-03-01,133.3330,121.6106,1.7617
2022-04-01,133.5346,121.8485,1.8161
2022-05-01,133.8471,121.1266,1.8163
2022-06-01,134.1853,121.1080,1.7724
2022-07-01,134.2237,120.8274,1.5172
2022-08-01,134.5151,121.2285,1.4146
2022-09-01,134.6799,121.3756,1.3457
2022-10-01,134.8139,121.3951,1.1955
2022-11-01,134.8427,121.3614,1.1905
2022-12-01,135.1070,121.2030,1.1272
2023-01-01,135.3929,121.0185,0.9408
2023-02-01,135.5168,120.9565,0.8793
2023-03-01,135.5969,121.2359,0.9022
2023-04-01,135.7742,120.7439,0.6894
2023-05-01,135.9757,120.5814,0.6653
2023-06-01,136.1134,119.7338,0.5999
2023-07-01,136.2900,119.2232,0.7033
2023-08-01,136.6145,119.0057,0.5558
2023-09-01,136.6593,118.2137,0.5049
2023-10-01,136.8211,118.0795,0.4180
2023-11-01,137.1309,118.0862,0.3335
2023-12-01,137.1988,117.5753,0.3722
2024-01-01,137.2577,117.1994,0.3010
2024-02-01,137.5047,116.6475,0.2974
2024-03-01,137.6720,116.4850,0.0500
2024-04-01,137.8736,116.4321,0.0500
2024-05-01,137.8995,116.8139,0.1733
2024-06-01,138.3322,116.0504,0.1340
2024-07-01,138.3632,115.9821,0.0758
2024-08-01,138.6198,115.9051,0.0588
2024-09-01,138.8876,115.7883,0.0837
2024-10-01,138.9457,115.7774,0.0500
2024-11-01,139.0061,116.4119,0.0500
2024-12-01,139.1470,116.4920,0.2233
